model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
XE	23412	172	2.235528447	9958994	74.81151259	-3.524292386	-1.918156738	12042	12422	623.6521449	72.22093023	2001.085407	0.680892059	0.983323281	0.932849617	0.303450922	6089080415	0.946374886	1.162508533	19	0.048408402
XE	23413	144	2.158362492	9960465	65.54421174	-4.673077978	-1.952910805	9096	9400	529.165613	65.27777778	1596.859363	0.662538587	0.98449424	0.876763368	0.280079834	5042761208	0.960177494	1.177014436	5	0.070628436
XE	23421	143	2.155336037	9781478	64.02868207	-4.586812265	-1.940262178	9149	9451	524.9090244	66.09090909	1497.745198	0.638011878	0.983776797	0.835079656	0.255794038	4957740342	1.114541606	1.148422185	16	0.069426616
XE	23422	172	2.235528447	9958994	74.81151259	-3.524292386	-1.918156738	12042	12422	623.6521449	72.22093023	2001.085407	0.680892059	0.983323281	0.932849617	0.303450922	6089080415	0.946374886	1.162508533	19	0.048408402
XE	23423	144	2.158362492	9960465	65.54421174	-4.673077978	-1.952910805	9096	9400	529.165613	65.27777778	1596.859363	0.662538587	0.98449424	0.876763368	0.280079834	5042761208	0.960177494	1.177014436	5	0.070628436
XE	23431	142	2.152288344	9781478	63.5336534	-4.660193799	-1.932016842	8790	9094	511.3511675	64.04225352	1434.693237	0.645156084	0.983269148	0.849803346	0.25653364	4923456500	1.038623001	1.116522116	16	0.070100063
XE	23432	171	2.23299611	9958994	74.23794883	-3.438710553	-1.917641659	11887	12265	618.6172792	71.7251462	1974.106364	0.680937974	0.983261182	0.933794879	0.304539699	6054965094	0.948454591	1.169627232	19	0.046929638
XE	23433	142	2.152288344	9960465	64.14580916	-4.526328225	-1.952223191	8826	9126	519.3483653	64.26760563	1551.091	0.659697447	0.98423191	0.874631966	0.280196822	4977056391	0.972499171	1.186581268	5	0.069309948
XE	23441	87	1.939519253	9781478	37.38154919	-3.407642537	-1.967701079	3430	3608	287.3289549	41.47126437	604.6241647	0.607936983	0.978614547	0.797415544	0.249012489	3013483998	1.236878545	1.133284321	3	0.078180006
XE	23442	104	2.017033339	9958994	39.65979255	-0.155371069	-1.924911011	4559	4783	339.5879929	45.99038462	756.0872853	0.614991698	0.979235537	0.858774327	0.313666456	3737168940	1.304008168	1.543575787	15	0.055387642
XE	23443	91	1.959041392	9822870	38.06918284	-1.867847007	-1.947896862	3714	3904	298.1092336	42.9010989	603.0901099	0.610468096	0.977625181	0.813526307	0.257606713	3190651024	1.229938082	1.472092788	8	0.053541932
XE	23451	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	23452	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	23453	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	23461	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	23462	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	23463	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	23511	249	2.396199347	9930772	152.3720752	-11.27179095	-1.678443649	14690	15384	668.1144135	61.78313253	1796.630198	0.921539485	0.954555599	1.235187996	0.307988995	8355811395	-0.546401346	2.191283528	325	0.187835127
XE	23512	257	2.409933123	9994610	156.659769	-10.96457902	-1.683449908	15373	16093	684.4057119	62.61867704	1800.135275	0.930763011	0.963890513	1.25592348	0.312418416	8665540864	-0.556728784	2.180029288	319	0.183621242
XE	23513	247	2.392696953	9990940	152.4986162	-11.14547925	-1.68709626	15296	15980	674.9856762	64.69635628	1809.269214	0.923710347	0.957379968	1.234070779	0.313730539	8318731231	-0.51193381	2.120370806	302	0.191892134
XE	23521	249	2.396199347	9930772	152.0392053	-11.20960124	-1.707492782	15350	16030	694.3941161	64.37751004	1972.518202	0.916837282	0.96067273	1.227109586	0.310463543	8359065202	-0.513206522	2.124788965	320	0.186480195
XE	23522	257	2.409933123	9994610	156.659769	-10.96457902	-1.683449908	15373	16093	684.4057119	62.61867704	1800.135275	0.930763011	0.963890513	1.25592348	0.312418416	8665540864	-0.556728784	2.180029288	319	0.183621242
