model,simID,S,gamma.stat,beta.stat,Colless,Sackin,shape.stat,MRD,VRD,PSV,mean.Iprime,pch,col
pontarp,1312221,20,-2.360170521,-0.798185116,39,105,20.71607976,5.25,3.671052632,0.849055194,0.605050505,17,orangered
pontarp,1312311,32,-1.56891095,0.088591449,72,192,32.86584868,6,3.419354839,0.877419355,0.495436508,17,orangered
pontarp,2111111,78,-10.38160161,-0.685846489,363,689,94.23732736,8.833333333,11.12770563,0.968710725,0.611312707,17,orangered
pontarp,2111121,30,-6.358182439,-0.215488919,73,181,31.08164488,6.033333333,4.102298851,0.936023823,0.529473304,17,orangered
pontarp,2111211,78,-8.865025796,-0.868503036,520,828,97.32462607,10.61538462,27.56443556,0.942472432,0.598510619,17,orangered
pontarp,2111221,34,-6.530500538,0.950083529,72,200,33.92580603,5.882352941,2.349376114,0.930558395,0.499912854,17,orangered
pontarp,2111311,66,-6.318459942,-0.644136284,305,571,77.98699994,8.651515152,15.15361305,0.938660935,0.523653105,17,orangered
pontarp,2111321,27,-5.373429126,-0.061025408,53,151,27.78334192,5.592592593,3.712250712,0.923677634,0.539413265,17,orangered
pontarp,2211111,78,-10.06797461,-0.90071466,420,738,98.29060904,9.461538462,18.04395604,0.962412923,0.61855753,17,orangered
pontarp,2211121,34,-5.885847005,-0.127230757,104,220,35.34108793,6.470588235,5.832442068,0.944547467,0.588716406,17,orangered
pontarp,2211211,73,-8.367634609,-1.138713918,527,793,98.03223974,10.8630137,28.28652968,0.942125009,0.725568974,17,orangered
pontarp,2211221,33,-6.341514165,-0.511715872,104,220,35.17946115,6.666666667,6.979166667,0.93844123,0.509713203,17,orangered
pontarp,2211311,60,-5.644590689,-1.073459493,396,610,77.98878357,10.16666667,24.24293785,0.920622321,0.638724364,17,orangered
pontarp,2211321,25,-5.596877815,9.999926417,30,126,23.4658538,5.04,1.206666667,0.944027778,0.440082645,17,orangered
pontarp,2212111,80,-8.430368373,-0.455762401,278,668,92.56935567,8.35,9.344303797,0.940333572,0.496869355,17,orangered
pontarp,2212121,28,-5.53637794,-0.305655616,67,169,28.79940837,6.035714286,3.665343915,0.917311222,0.49122288,17,orangered
pontarp,2212211,73,-7.274276789,-1.084237118,360,654,95.39488173,8.95890411,12.03995434,0.932290177,0.672511942,17,orangered
pontarp,2212221,31,-4.381061803,1.722539221,56,174,30.64246113,5.612903226,2.311827957,0.876017587,0.491321699,17,orangered
pontarp,2212311,62,-4.020712319,0.467751658,159,439,66.35473106,7.080645161,3.944209413,0.945005843,0.4599651,17,orangered
pontarp,2212321,29,-3.085972758,0.500302945,62,168,28.34783468,5.793103448,2.884236453,0.905367656,0.417980515,17,orangered
pontarp,2311111,76,-9.050831412,-0.237117042,252,596,87.17311436,7.842105263,5.228070175,0.972481102,0.506888542,17,orangered
pontarp,2311121,32,-7.082075869,5.513406245,50,176,30.194601,5.5,1.548387097,0.951120616,0.377002165,17,orangered
pontarp,2311211,68,-7.516405778,-0.81779731,381,643,83.32987097,9.455882353,13.17712906,0.936379977,0.625252709,17,orangered
pontarp,2311221,30,-5.676072194,-0.290660543,68,174,32.20307184,5.8,3.337931034,0.93882826,0.611160714,17,orangered
pontarp,2311311,54,-5.921482572,-0.158098211,190,408,58.6820623,7.555555556,7.647798742,0.942068132,0.469602014,17,orangered
pontarp,2311321,26,-4.809322263,-0.17043553,69,157,25.6295513,6.038461538,4.198461538,0.909279485,0.477751878,17,orangered
pontarp,2312111,81,-7.957768733,-1.0323525,376,732,105.3700132,9.037037037,12.76111111,0.944707753,0.588016642,17,orangered
pontarp,2312121,34,-6.000941718,-0.654842988,106,230,37.3055995,6.764705882,7.821746881,0.910759546,0.521938615,17,orangered
pontarp,2312211,75,-6.373094861,-0.534146446,291,621,88.71210751,8.28,6.961081081,0.943460365,0.529493859,17,orangered
pontarp,2312221,31,-4.463638984,-1.34170645,143,237,39.47650677,7.64516129,11.56989247,0.85921659,0.751508127,17,orangered
pontarp,2312311,60,-5.320008064,-0.840384654,272,506,73.04673859,8.433333333,8.62259887,0.937113508,0.61557754,17,orangered
pontarp,2312321,27,-3.108004215,-1.170807245,93,179,32.01163445,6.62962963,8.165242165,0.867029215,0.668253968,17,orangered
pontarp,2423321,73,-7.917104748,-1.146144777,429,713,97.3360286,9.767123288,14.04223744,0.926683502,0.668664184,17,orangered
pontarp,3111111,86,-12.22466347,-1.01317194,454,810,111.7065368,9.418604651,15.06976744,0.97608182,0.637812186,17,orangered
pontarp,3111121,35,-7.063055133,2.055451389,63,203,33.37769407,5.8,1.870588235,0.95705364,0.32047138,17,orangered
pontarp,3111211,66,-9.177843804,-1.061889441,453,701,86.18537279,10.62121212,23.03892774,0.94936028,0.608859248,17,orangered
pontarp,3111221,34,-7.092445079,3.487417565,61,193,31.84231022,5.676470588,1.922459893,0.939958737,0.379113787,17,orangered
pontarp,3111231,22,-3.48710212,0.980913458,34,112,20.63953968,5.090909091,1.991341991,0.930383165,0.446212121,17,orangered
pontarp,3111311,75,-5.88513147,-1.114954251,805,1059,103.3362117,14.12,54.13405405,0.90707939,0.663643331,17,orangered
pontarp,3111321,32,-5.917842343,2.890565018,56,180,31.84148343,5.625,1.983870968,0.951639378,0.4608515,17,orangered
pontarp,3111331,20,-3.791731087,-0.531687788,40,106,19.9896466,5.3,2.957894737,0.881713212,0.524314574,17,orangered
pontarp,3211111,85,-11.0105497,-0.685377564,406,772,103.1602349,9.082352941,14.17170868,0.975573271,0.554590842,17,orangered
pontarp,3211121,40,-6.458811525,-0.583981143,130,282,44.7852584,7.05,6.1,0.950430811,0.547140879,17,orangered
pontarp,3211131,20,-5.15894954,-1.359482829,53,113,22.69324245,5.65,4.871052632,0.946013495,0.65353836,17,orangered
pontarp,3211211,80,-10.65897321,-1.078827097,585,907,106.6718576,11.3375,26.96060127,0.960204425,0.600673903,17,orangered
pontarp,3211221,37,-6.172016796,-0.174133982,103,239,39.58413744,6.459459459,4.366366366,0.947333927,0.534322803,17,orangered
pontarp,3211231,22,-5.591294965,-0.285463258,42,116,22.21350741,5.272727273,2.303030303,0.942118795,0.508717041,17,orangered
pontarp,3211311,67,-7.235421251,-1.089962646,591,825,89.57148704,12.31343284,37.27905925,0.920621877,0.662483981,17,orangered
pontarp,3211321,29,-5.712357016,0.237642775,64,170,28.83276396,5.862068966,3.194581281,0.939626648,0.443616747,17,orangered
pontarp,3212111,87,-9.396338394,-0.564939062,279,695,104.5249025,7.988505747,5.127773323,0.965116279,0.594033734,17,orangered
pontarp,3212121,34,-5.809396621,-0.349576529,108,226,36.20187211,6.647058824,4.962566845,0.917310057,0.591106244,17,orangered
pontarp,3212211,84,-8.804002515,-0.885988251,526,862,105.8950801,10.26190476,21.18359151,0.948402292,0.65885981,17,orangered
pontarp,3212221,32,-6.142106469,-0.840951421,108,216,36.43879867,6.75,6.967741935,0.910117822,0.65092529,17,orangered
pontarp,3212311,73,-5.633167596,-1.071576926,416,704,95.73819875,9.643835616,18.56582953,0.938044797,0.620812285,17,orangered
pontarp,3212321,35,-3.813920009,0.653421822,80,214,35.05446723,6.114285714,2.692436975,0.917076105,0.410198413,17,orangered
pontarp,3311111,82,-9.520259022,-1.122812104,401,765,109.398257,9.329268293,14.19888588,0.968109194,0.623364593,17,orangered
pontarp,3311121,38,-6.996147287,-0.535190723,127,267,41.64925411,7.026315789,6.404694168,0.933661981,0.542007864,17,orangered
pontarp,3311211,77,-9.079123739,-0.673434926,458,762,92.01668123,9.896103896,15.77853725,0.954418926,0.603008621,17,orangered
pontarp,3311221,34,-5.870766602,-1.117118604,150,262,41.41479057,7.705882353,12.09269162,0.908000483,0.660806495,17,orangered
pontarp,3311231,21,-5.064008087,-0.833792824,68,128,21.87644712,6.095238095,6.49047619,0.900497945,0.627728175,17,orangered
pontarp,3311311,65,-6.050264824,-1.006800319,389,639,83.01299878,9.830769231,18.58028846,0.943938338,0.64486093,17,orangered
pontarp,3311321,28,-3.812869884,-0.271491746,76,172,28.6391484,6.142857143,3.312169312,0.90986834,0.537760553,17,orangered
pontarp,3312111,91,-9.925501008,-0.285366184,393,815,103.5190198,8.956043956,8.931379731,0.964953215,0.452494537,17,orangered
pontarp,3312121,39,-5.239900333,-1.184502475,152,292,48.84327402,7.487179487,8.624831309,0.925079316,0.652031963,17,orangered
pontarp,3312211,83,-7.013772101,-1.187962399,546,878,114.0685309,10.57831325,25.05171907,0.935532975,0.661002837,17,orangered
pontarp,3312221,37,-5.0296337,0.71347727,84,228,36.56918302,6.162162162,4.584084084,0.923061781,0.408907288,17,orangered
pontarp,3312231,21,-4.690869862,-1.266222617,93,149,24.89029993,7.095238095,9.49047619,0.862360586,0.778809524,17,orangered
pontarp,3312311,68,-6.397712441,-1.191191349,660,900,95.41068192,13.23529412,34.45127305,0.8581865,0.651863688,17,orangered
pontarp,3312321,31,-3.747032431,-0.98292064,86,196,35.79767765,6.322580645,5.425806452,0.906088832,0.637723214,17,orangered
etienne,11331,28,2.674933913,-0.889703799,86,184,31.34665815,6.571428571,3.661375661,0.572603855,0.558150183,17,darkblue
etienne,11332,27,2.230263275,0.300481193,61,155,26.7554987,5.740740741,2.968660969,0.623219542,0.539335664,17,darkblue
etienne,11333,28,2.080297902,3.196499112,48,150,27.00975195,5.357142857,1.645502646,0.715477804,0.51748145,17,darkblue
etienne,12331,23,3.098366904,0.106131654,47,123,22.72158201,5.347826087,2.600790514,0.649751497,0.513333333,17,darkblue
etienne,12332,23,2.718078254,-0.660622863,72,142,23.77895134,6.173913043,4.786561265,0.444963761,0.606481481,17,darkblue
etienne,12333,22,2.082691171,-0.257024416,34,114,22.59995452,5.181818182,2.155844156,0.646547901,0.532638889,17,darkblue
etienne,13331,23,3.307630098,-0.581226142,58,134,23.5738151,5.826086957,4.877470356,0.513574945,0.549242424,17,darkblue
etienne,13332,24,3.249752134,5.447773448,35,121,22.04211493,5.041666667,1.780797101,0.636742368,0.459366391,17,darkblue
