model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
Amphibian	676	36	1.556302501	43.68390922	11.59758175	-0.458410005	0.87390956	82	222	35.12911016	6.166666667	3.514285714	0.774338725	0.383506955	1.263437139	0.303316791	5574.990655	0.059337805	2.736110395	15	0.111733672
Amphibian	677	29	1.462397998	41.25820068	9.880731997	-0.620452932	0.775079571	58	166	27.99024316	5.724137931	2.706896552	0.724999691	0.423617408	1.152704599	0.28419025	4227.582168	0.68337958	2.618656059	5	0.099595087
Amphibian	6776	37	1.568201724	51.01228733	10.05426506	-0.379293127	-1.070182088	159	285	44.98003513	7.702702703	10.71471471	0.586956227	0.634970216	0.935040778	0.392954467	6792.601145	1.259534036	1.667054578	13	0.157380229
Amphibian	6777	30	1.477121255	40.08648712	9.537103985	-0.957733713	-1.371926276	158	250	39.23438294	8.333333333	11.33333333	0.490897898	0.722991592	0.699063965	0.131924298	4383.670127	2.235393893	1.365732681	1	0.118122052
Amphibian	6778	29	1.462397998	24.95502892	13.10721986	-1.766426355	-1.257544461	130	220	35.86708711	7.586206897	9.751231527	0.730139397	0.706746587	1.045911033	0.224133071	2539.865257	0.488371879	1.366014161	3	0.058508419
Amphibian	6779	28	1.447158031	23.29974418	12.89631057	-1.80533365	-1.073524379	103	191	32.5348826	6.821428571	8.448412698	0.76060092	0.685799914	1.100244977	0.242718123	2270.58534	0.357343622	1.391369028	2	0.061427033
Amphibian	678	24	1.380211242	32.80833586	8.686410268	-0.563760363	1.354163593	37	125	22.57859711	5.208333333	1.824275362	0.76623001	0.437701692	1.223763339	0.350577972	2712.890595	-0.21184463	3.029294867	1	0.086872039
Amphibian	6780	26	1.414973348	20.70304498	12.38982545	-1.698323852	-0.99323282	79	161	29.23904573	6.192307692	7.121538462	0.812839051	0.670083762	1.193027929	0.284943401	1848.762081	0.166432845	1.373432826	4	0.063290811
Amphibian	6781	22	1.342422681	18.98878375	9.891793911	-1.212428651	-1.075722606	58	126	24.22841044	5.727272727	6.398268398	0.808813896	0.658175915	1.221981338	0.326704915	1413.999102	0.130364835	1.331578062	9	0.060167339
Amphibian	6813	48	1.681241237	64.00023654	15.55586937	-0.707794299	-1.165436475	223	401	62.0930657	8.354166667	13.42508865	0.760604158	0.607887009	1.224261695	0.359058705	10902.43891	0.326730912	1.601386018	5	0.113174901
Amphibian	6814	11	1.041392685	55.37085652	5.463795264	-0.523220056	-0.664366547	17	47	9.218308542	4.272727273	2.418181818	0.703101252	0.5	1.005528834	0.329000579	2045.75879	0.660802429	1.27508843	4	0.09720893
Amphibian	6815	10	1	45.48672918	5.556317035	-1.344252013	-0.65366157	14	40	8.14786713	4	1.555555556	0.687153554	0.4125	0.913736485	0.222737962	1514.522171	0.870457256	1.207881414	1	0.145158874
Amphibian	6816	46	1.662757832	21.2344188	17.15292496	-1.277261719	-0.766044568	224	392	52.98053569	8.52173913	11.81062802	0.754597008	0.584259133	1.162880129	0.274560801	3452.991925	0.308545334	1.835243294	21	0.078162749
Amphibian	6817	37	1.568201724	20.76369125	13.51941802	-1.147888524	-0.852286283	183	311	42.4404713	8.405405405	10.24774775	0.657151673	0.601833605	0.979782032	0.194297513	2769.298297	0.65525309	2.181342058	1	0.084612129
Amphibian	6818	36	1.556302501	17.53264548	14.6423017	-1.394680085	-0.612885335	148	274	38.85695237	7.611111111	8.93015873	0.755054682	0.576948205	1.136108601	0.252939577	2199.682968	0.414766765	2.149202836	12	0.068677058
Amphibian	6819	30	1.477121255	17.09287013	11.23503702	-0.711738091	-0.685941429	119	221	31.90040692	7.366666667	7.067816092	0.673042469	0.567556162	1.009985723	0.204074594	1818.713456	0.643968557	1.942596355	3	0.071353819
Amphibian	6820	28	1.447158031	13.64154185	12.41323458	-1.079238579	-0.50514401	93	189	28.53311109	6.75	5.305555556	0.784442327	0.540050921	1.167011759	0.234581403	1339.741476	-0.125120595	1.986149964	2	0.056116938
