model	simID	S	tree.length	PD	gamma	beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
etienne	123321	23	10	4.812081431	2.718078253	-0.047134638	54	128	22.37203769	5.565217391	3.529644269	0.403258373	0.558333333	0.647312325	0.364124881	848.6803384	2.393159841	1.967210475	4	0.220414155
etienne	123322	141	10	25.90283272	2.436094998	-0.578744289	677	1399	172.0587718	9.921985816	10.15815603	0.775503727	0.54764578	1.37801666	0.316778719	5227.273693	-0.448122828	4.856599199	1	0.245088726
etienne	123331	22	9.999999999	4.966810269	2.082691166	-0.046353025	43	115	21.95114315	5.227272727	3.231601732	0.682703953	0.57637741	1.203872927	0.519362217	804.8487228	0.775190472	2.66251791	1	0.204417128
etienne	123332	28	10	6.563637926	1.368557761	-0.265771202	62	160	29.36152729	5.714285714	3.026455026	0.673474147	0.620231554	1.161631041	0.462477776	1010.981889	0.887169337	3.387254561	1	0.19438112
etienne	133232	28	10	6.715722799	1.227752332	9.999935	36	148	27.7786434	5.285714286	1.470899471	0.71333414	0.482142857	1.237065295	0.417070286	1009.064559	0.433497301	4.820969193	1	0.189006278
etienne	133311	23	10	4.504930764	3.307630101	-1.419203439	83	149	28.03280278	6.47826087	7.897233202	0.522511244	0.744132653	0.905389841	0.641173943	844.7706408	1.064734517	1.552381408	12	0.233768532
etienne	133321	24	9.999999999	4.662353763	3.249752131	2.903718139	37	123	22.24463919	5.125	1.505434783	0.678835905	0.392051467	1.223937741	0.501567442	887.389948	0.892046984	3.176690574	1	0.234933718
etienne	133322	26	10	7.395145333	0.29805108	-0.893956381	70	160	28.72244733	6.153846154	4.695384615	0.669759093	0.553159341	1.104961635	0.370877165	929.0363146	0.833333108	2.176745512	1	0.144943099
etienne	133331	24	10	4.814992261	2.84237031	0.327508931	50	134	23.02739853	5.583333333	2.514492754	0.542552001	0.419967532	0.938792961	0.365599348	889.6572782	1.718282038	1.99187008	4	0.228573781
etienne	213212	169	10	20.40442455	2.603104421	0.074004497	642	1568	194.5669739	9.278106509	4.749577346	0.693049071	0.46914224	1.274365928	0.350283444	6414.942771	0.230345302	3.661690461	1	0.30806052
etienne	213222	39	9.999999999	6.286799806	1.899571926	0.061057422	112	268	39.78700352	6.871794872	3.956815115	0.399244901	0.435291325	0.667926654	0.209184553	1480.589319	3.21184722	2.556471508	3	0.267596765
etienne	213232	59	10	10.26679412	1.525189436	-0.31991245	215	473	66.19927293	8.016949153	6.292811222	0.568446247	0.479170128	0.985471637	0.340644096	2216.494066	1.362020411	2.907815211	24	0.2547833
etienne	213311	38	10	7.143085334	2.709573798	-1.016240482	187	319	45.92734946	8.394736842	8.191322902	0.399821514	0.668905465	0.642061877	0.191281325	1438.002202	2.639369235	2.768049157	4	0.24082083
etienne	213312	1596	10	198.7611945	3.691846082	0.025342438	9932	22456	1914.199009	14.07017544	10.11921025	0.803165758	0.493463828	1.482807845	0.152078	60831.11865	0.09855969	9.766604162	2	0.304259671
etienne	213321	42	10	7.532499339	2.91224652	1.548812564	100	264	41.43368751	6.285714286	2.696864111	0.570180655	0.444434269	0.992851722	0.425747271	1559.169493	1.319724908	2.299642815	16	0.249451538
etienne	213322	1357	10	167.3262015	3.443070811	-0.133155364	6767	17577	1642.276174	12.95283714	9.366505588	0.847910806	0.503009872	1.573742033	0.158482985	51542.01146	-1.97523024	14.10305136	1	0.30549079
etienne	213331	44	10	7.871229677	2.71289566	-0.146384241	124	302	47.072033	6.863636364	5.00422833	0.675689798	0.452663857	1.205279919	0.473337008	1632.931598	1.078752294	4.210057885	1	0.249905176
etienne	213332	1547	10	187.9981397	3.133897751	0.027964282	9978	21978	1854.87759	14.20685197	13.43583918	0.746008236	0.502807373	1.371503646	0.103253244	59591.61943	0.172782839	10.62763124	84	0.307272429
etienne	214322	24	10	9.021246647	-0.166320487	1.416326382	44	128	21.69607324	5.333333333	1.884057971	0.765235956	0.367694805	1.20686508	0.270234873	847.2534991	-0.11304626	2.264206851	1	0.059690767
etienne	223212	184	10	25.29170877	2.667398273	-0.196417162	783	1749	219.4181359	9.505434783	6.229478498	0.703223005	0.568342145	1.277175017	0.344780823	6964.612504	0.342162464	2.666206895	3	0.291341821
etienne	223222	27	10	4.667518172	3.378114528	0.08941031	54	152	26.85514728	5.62962963	3.011396011	0.624365322	0.461805556	1.12857173	0.62719152	1003.498604	2.822885623	6.151542021	1	0.255925717
etienne	223232	113	10	17.05565988	3.011446391	-0.120018682	481	1001	131.2514732	8.85840708	7.676201011	0.664818328	0.537106514	1.191554918	0.309580275	4258.3027	0.77477813	2.671419554	78	0.277861717
etienne	223311	28	10	5.953648284	1.556630541	-0.440757191	72	172	29.16655461	6.142857143	3.830687831	0.557657067	0.586418709	0.948788328	0.358919048	1042.362914	2.801537255	3.463359758	3	0.216166464
etienne	223312	40	10	7.967384412	1.98483131	3.235175035	70	236	39.80728099	5.9	1.682051282	0.714236966	0.42397351	1.265643595	0.41824266	1467.677687	-0.040654358	6.054586483	1	0.22961215
etienne	223321	27	10	6.158036473	0.961449648	3.280778614	45	143	25.16271453	5.296296296	1.524216524	0.673032388	0.40755772	1.169333073	0.485833094	980.7203363	0.552771996	1.936622099	1	0.20072887
etienne	223322	596	9.999999999	73.96055305	3.779195081	0.157651588	2880	6930	704.4892597	11.62751678	6.476149117	0.774520166	0.489673418	1.427615218	0.144468655	22830.19244	0.068407678	8.599754297	1	0.304701872
etienne	223331	31	10	6.364658362	1.806662124	-0.261651408	92	196	32.49566188	6.322580645	4.292473118	0.523003136	0.622157842	0.881400462	0.387746264	1153.588529	1.448630624	1.640906664	4	0.2234852
etienne	223332	168	10	24.01469684	1.349720068	0.61282875	509	1475	189.899457	8.779761905	4.280546051	0.763248308	0.477200287	1.392829386	0.371191108	6310.070031	-0.592260233	5.686269865	2	0.285852136
etienne	224322	20	10	7.714595892	-0.086885918	9.999929959	24	96	19.58109983	4.8	1.536842105	0.774321631	0.573484848	1.225890746	0.367547793	684.3048946	0.298693951	2.697288465	5	0.058945226
etienne	233112	36	10	6.043411072	2.701641137	0.27144662	75	223	36.01831808	6.194444444	3.361111111	0.653976295	0.362890646	1.180247457	0.592705124	1339.223549	0.575152606	2.288307208	1	0.26092423
etienne	233232	30	10	6.867909799	2.852666647	-0.09800923	59	171	31.87707091	5.7	3.113793103	0.733178592	0.537619048	1.285439457	0.441851326	1091.922069	0.293835151	4.486342767	1	0.199866433
etienne	233311	33	10	5.58048093	3.067302294	0.223301479	75	195	34.35528571	5.909090909	2.835227273	0.678796291	0.539488636	1.233136439	0.508631489	1230.16734	0.537349527	3.04217357	1	0.259691277
etienne	233312	61	10	10.42402792	3.212006675	0.590739273	137	415	66.54613934	6.803278689	3.260655738	0.759025017	0.535345861	1.372230695	0.359647049	2272.370661	-0.835903433	5.217281152	1	0.257911056
etienne	233321	37	10	5.836859206	3.419876771	1.839547118	69	217	38.30890161	5.864864865	1.953453453	0.688188522	0.52677475	1.259033815	0.490014597	1381.569328	0.895586159	4.216327492	1	0.271043809
etienne	233322	184	9.999999999	24.14537215	3.317005813	-0.295235833	796	1800	219.0179261	9.782608696	8.35685436	0.67409741	0.493644194	1.225046306	0.284940872	6990.302866	0.887586197	5.944094355	74	0.297571911
