"","dispersal","density","environment","speciationRate","fission","protracted","replicate","id"
"268",1,1,0,5,2,2,3,268
"269",0,0,1,5,2,2,3,269
"270",1,0,1,5,2,2,3,270
"271",0,1,1,5,2,2,3,271
"272",1,1,1,5,2,2,3,272
"273",0,0,0,2,3,2,3,273
"274",1,0,0,2,3,2,3,274
"275",0,1,0,2,3,2,3,275
"276",1,1,0,2,3,2,3,276
"277",0,0,1,2,3,2,3,277
"278",1,0,1,2,3,2,3,278
"279",0,1,1,2,3,2,3,279
"280",1,1,1,2,3,2,3,280
"281",0,0,0,5,3,2,3,281
"282",1,0,0,5,3,2,3,282
"283",0,1,0,5,3,2,3,283
"284",1,1,0,5,3,2,3,284
"285",0,0,1,5,3,2,3,285
"286",1,0,1,5,3,2,3,286
"287",0,1,1,5,3,2,3,287
"288",1,1,1,5,3,2,3,288
"289",0,0,0,2,1,0,4,289
"290",1,0,0,2,1,0,4,290
"291",0,1,0,2,1,0,4,291
"292",1,1,0,2,1,0,4,292
"293",0,0,1,2,1,0,4,293
"294",1,0,1,2,1,0,4,294
"295",0,1,1,2,1,0,4,295
"296",1,1,1,2,1,0,4,296
"297",0,0,0,5,1,0,4,297
"298",1,0,0,5,1,0,4,298
"299",0,1,0,5,1,0,4,299
"300",1,1,0,5,1,0,4,300
"301",0,0,1,5,1,0,4,301
"302",1,0,1,5,1,0,4,302
"303",0,1,1,5,1,0,4,303
"304",1,1,1,5,1,0,4,304
"305",0,0,0,2,2,0,4,305
"306",1,0,0,2,2,0,4,306
"307",0,1,0,2,2,0,4,307
"308",1,1,0,2,2,0,4,308
"309",0,0,1,2,2,0,4,309
"310",1,0,1,2,2,0,4,310
"311",0,1,1,2,2,0,4,311
"312",1,1,1,2,2,0,4,312
"313",0,0,0,5,2,0,4,313
"314",1,0,0,5,2,0,4,314
"315",0,1,0,5,2,0,4,315
"316",1,1,0,5,2,0,4,316
"317",0,0,1,5,2,0,4,317
"318",1,0,1,5,2,0,4,318
"319",0,1,1,5,2,0,4,319
"320",1,1,1,5,2,0,4,320
"321",0,0,0,2,3,0,4,321
"322",1,0,0,2,3,0,4,322
"323",0,1,0,2,3,0,4,323
"324",1,1,0,2,3,0,4,324
"325",0,0,1,2,3,0,4,325
"326",1,0,1,2,3,0,4,326
"327",0,1,1,2,3,0,4,327
"328",1,1,1,2,3,0,4,328
"329",0,0,0,5,3,0,4,329
"330",1,0,0,5,3,0,4,330
"331",0,1,0,5,3,0,4,331
"332",1,1,0,5,3,0,4,332
"333",0,0,1,5,3,0,4,333
"334",1,0,1,5,3,0,4,334
"335",0,1,1,5,3,0,4,335
"336",1,1,1,5,3,0,4,336
"337",0,0,0,2,1,2,4,337
"338",1,0,0,2,1,2,4,338
"339",0,1,0,2,1,2,4,339
"340",1,1,0,2,1,2,4,340
"341",0,0,1,2,1,2,4,341
