"model","model2","experiment","parameter","metric","r","r.L95","r.U95","color","symbol"
"ca","ca","env","MaxOptimalElevation","PSV",-0.0144413849488841,-0.0706260375782067,0.0418346096354664,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","mean.Iprime",-0.0210307252513985,-0.0771847201253453,0.0352562737520322,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","MPD",0.0282791457015234,-0.0280157281411657,0.0843952062700892,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","VPD",0.00626623068853372,-0.0499910276106552,0.0624838516520941,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","nLTT_stat",0.00341904207990884,-0.052830370418919,0.0596468269710089,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","PC1",0.0351694286101306,-0.0211288159148845,0.0912453400936501,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","PC2",0.0184925780418679,-0.0377906155493121,0.074658813602041,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","PC3",0.0260918810024611,-0.0302010838211592,0.0822198531670262,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","PC4",0.0204663275570031,-0.0358198722215834,0.0766230911024139,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","PC5",0.0114879549315927,-0.0447819199720773,0.0676851655932898,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","PC6",-0.0253154997383728,-0.0814476034123363,0.0309766903148242,"#EEEE00FF",16
"fh","fh.1","env","environment","S",0.161016134496795,0.0860638524284816,0.234156046738653,"#00008BFF",16
"fh","fh.1","env","environment","log10S",0.161016134496795,0.0860638524284816,0.234156046738653,"#00008BFF",16
"fh","fh.1","env","environment","tree.length",0.165092213742468,0.0901939546599757,0.238133531844721,"#00008BFF",16
"fh","fh.1","env","environment","PD",0.36071973031669,0.29097117680815,0.426654221589274,"#00008BFF",16
"fh","fh.1","env","environment","Gamma",-0.190377428279025,-0.262763756708658,-0.115860056729831,"#00008BFF",16
"fh","fh.1","env","environment","Beta",0.165356641682814,0.0904619574783059,0.238391496917674,"#00008BFF",16
"fh","fh.1","env","environment","Colless",0.0373172512957982,-0.038336522003592,0.112545663912301,"#00008BFF",16
"fh","fh.1","env","environment","Sackin",0.120040999647087,0.0446572492887308,0.194065447376963,"#00008BFF",16
"fh","fh.1","env","environment","Yule.PDA.ratio",0.0968341014584882,0.0212945278869774,0.171274334848916,"#00008BFF",16
"fh","fh.1","env","environment","MRD",0.0202546849314021,-0.055357224678548,0.0956356087019481,"#00008BFF",16
"fh","fh.1","env","environment","VRD",-0.114341278024661,-0.188473518398929,-0.0389133882490169,"#00008BFF",16
"fh","fh.1","env","environment","PSV",0.380001283553032,0.311055641037302,0.444968201584958,"#00008BFF",16
"fh","fh.1","env","environment","mean.Iprime",-0.219568118486726,-0.291104299581375,-0.145590274907339,"#00008BFF",16
"fh","fh.1","env","environment","MPD",0.35422534390158,0.284219265447012,0.420474323387536,"#00008BFF",16
"fh","fh.1","env","environment","VPD",-0.247834944878256,-0.318450138349766,-0.174484330573411,"#00008BFF",16
"fh","fh.1","env","environment","nLTT_stat",-0.238216174825802,-0.309155683706613,-0.164640357033151,"#00008BFF",16
"fh","fh.1","env","environment","PC1",-0.350017445543303,-0.416467151395975,-0.279847935199893,"#00008BFF",16
"fh","fh.1","env","environment","PC2",0.281857879325439,0.209403542679032,0.351234100390632,"#00008BFF",16
"fh","fh.1","env","environment","PC3",-0.361288177741721,-0.427194870201994,-0.291562472133591,"#00008BFF",16
"fh","fh.1","env","environment","PC4",0.26731371456818,0.194456999599696,0.337237228239148,"#00008BFF",16
"fh","fh.1","env","environment","PC5",-0.176465516270014,-0.249221491138772,-0.101728782417467,"#00008BFF",16
"fh","fh.1","env","environment","PC6",-0.126247121191412,-0.200149983969865,-0.0509158053275361,"#00008BFF",16
"fh","fh.2","env","environment","S",0.10385303954567,0.0271390564620219,0.179350926123643,"#00008BFF",17
"fh","fh.2","env","environment","log10S",0.10385303954567,0.0271390564620219,0.179350926123643,"#00008BFF",17
"fh","fh.2","env","environment","tree.length",0.211873599527858,0.136539986045981,0.284770787079354,"#00008BFF",17
"fh","fh.2","env","environment","PD",0.293291992803562,0.21999643978552,0.363294593792298,"#00008BFF",17
"fh","fh.2","env","environment","Gamma",-0.152680119749857,-0.227172630431964,-0.0764113109157308,"#00008BFF",17
"fh","fh.2","env","environment","Beta",0.229657204679352,0.154692438253,0.301992610798808,"#00008BFF",17
"fh","fh.2","env","environment","Colless",-0.0298073608002443,-0.106306186345,0.0470422456692516,"#00008BFF",17
