"","spp.name","region"
"528",120426,8
"529",120480,6
"530",120485,7
"531",120493,6
"532",120496,3
"533",120499,9
"534",120510,8
"535",120513,5
"536",120530,4
"537",120559,5
"538",120587,3
"539",120604,5
"540",120621,6
"541",120645,4
"542",120681,7
"543",120694,4
"544",120696,7
"545",120710,9
"546",120711,9
"547",120721,5
"548",120727,9
"549",120728,4
"550",120731,4
"551",120768,5
"552",120785,5
"553",120795,7
"554",120825,10
"555",120838,4
"556",120856,10
"557",120866,4
"558",120868,4
"559",120914,2
"560",120925,7
"561",120932,3
"562",120947,4
"563",120953,3
"564",120969,2
"565",120974,6
"566",121028,7
"567",121041,4
"568",121062,2
"569",121126,6
"570",121127,1
"571",121132,4
"572",121153,10
"573",121156,1
"574",121159,5
"575",121184,10
"576",121186,8
"577",121221,2
"578",121222,4
"579",121229,1
"580",121238,5
"581",121247,10
"582",121252,2
"583",121283,6
"584",121292,7
"585",121297,3
"586",121379,7
"587",121381,7
"588",121387,7
"589",121395,5
"590",121419,10
"591",121454,7
"592",121467,4
"593",121487,3
"594",121519,8
"595",121536,7
"596",121542,8
"597",121550,9
"598",121575,9
"599",121599,8
"600",121616,8
"601",121634,2
"602",121660,1
"603",121683,5
"604",121687,7
"605",121701,7
"606",121717,8
"607",121732,8
"608",121733,1
"609",121743,9
"610",121747,10
"611",121779,9
"612",121791,7
"613",121812,2
"614",121815,1
"615",121841,5
"616",121847,9
"617",121859,8
"618",121861,3
"619",121866,10
"620",121867,7
"621",121902,5
"622",121908,1
"623",121913,3
"624",121914,4
"625",121939,6
"626",121941,3
"627",121948,4
"628",121949,6
"629",121956,4
"630",121972,3
"631",121977,5
"632",121990,4
"633",121992,8
"634",121994,3
"635",122003,10
"636",122016,7
"637",122020,1
"638",122021,10
"639",122023,1
"640",122024,2
"641",122031,5
"642",122032,8
"643",122037,8
"644",122040,3
"645",122043,10
"646",122050,5
"647",122051,6
"648",122052,4
"649",122055,9
"650",122058,4
"651",122062,4
"652",122069,6
"653",122084,7
"654",122103,9
"655",122106,4
"656",122107,6
"657",122108,7
"658",122123,3
"659",122141,1
"660",122143,10
"661",122147,3
"662",122152,10
"663",122153,3
"664",122165,4
"665",122196,5
"666",122197,6
"667",122210,2
"668",122211,6
"669",122219,6
"670",122231,2
"671",122233,2
"672",122245,8
"673",122250,2
"674",122286,6
"675",122292,3
"676",122299,6
"677",122309,6
"678",122316,9
"679",122326,3
"680",122327,8
"681",122335,6
"682",122351,2
"683",122365,4
"684",122366,7
"685",122372,4
"686",122380,10
"687",122384,6
"688",122389,10
"689",122391,3
"690",122396,1
"691",122398,5
"692",122417,1
"693",122418,7
"694",122419,8
"695",122435,6
"696",122443,2
"697",122447,10
"698",122448,9
"699",122459,8
"700",122470,5
"701",122476,8
"702",122480,9
"703",122482,3
"704",122496,4
"705",122500,8
"706",122509,9
"707",122520,6
"708",122526,6
"709",122528,1
"710",122529,6
"711",122533,7
"712",122541,4
"713",122551,2
"714",122562,2
"715",122572,2
"716",122574,10
"717",122608,4
"718",122615,6
"719",122624,6
"720",122625,6
"721",122640,9
"722",122650,8
"723",122661,4
"724",122662,1
"725",122667,3
"726",122672,6
"727",122673,3
"728",122690,7
"729",122721,8
"730",122724,3
"731",122727,3
"732",122739,2
"733",122741,9
"734",122753,9
"735",122757,10
"736",122768,2
"737",122773,9
"738",122780,7
"739",122782,2
"740",122783,4
"741",122791,4
"742",122792,6
"743",122795,3
"744",122803,5
"745",122807,8
"746",122815,3
"747",122816,1
"748",122824,9
"749",122851,5
"750",122854,8
"751",122861,7
"752",122868,10
"753",122875,9
"754",122883,3
"755",122896,1
"756",122897,7
"757",122907,6
"758",122908,9
"759",122919,8
"760",122920,10
"761",122921,3
"762",122923,6
"763",122933,9
"764",122936,8
"765",122943,5
"766",122944,6
"767",122963,4
"768",122964,6
"769",122984,1
"770",122991,5
"771",123005,10
"772",123012,3
"773",123015,5
"774",123020,9
"775",123037,7
"776",123043,4
