"model","simID","L","v","Psi","s_phi","s_spar","s_disp","ticks","seed","file"
"XE","12442","333","1e-04","0.25","707106.781186548","1","0.1","1e+07","2","12442.m"
"XE","12443","333","1e-04","0.25","707106.781186548","1","0.1","1e+07","3","12443.m"
"XE","12451","333","1e-04","0.25","70710678.1186548","1","0.1","1e+07","1","12451.m"
"XE","12452","333","1e-04","0.25","70710678.1186548","1","0.1","1e+07","2","12452.m"
"XE","12453","333","1e-04","0.25","70710678.1186548","1","0.1","1e+07","3","12453.m"
"XE","12461","333","1e-04","0.25","-1","1","0.1","1e+07","1","12461.m"
"XE","12462","333","1e-04","0.25","-1","1","0.1","1e+07","2","12462.m"
"XE","12463","333","1e-04","0.25","-1","1","0.1","1e+07","3","12463.m"
"XE","12511","333","1e-04","0.75","0.707106781186548","1","0.1","1e+07","1","12511.m"
"XE","12512","333","1e-04","0.75","0.707106781186548","1","0.1","1e+07","2","12512.m"
"XE","12513","333","1e-04","0.75","0.707106781186548","1","0.1","1e+07","3","12513.m"
"XE","12521","333","1e-04","0.75","70.7106781186548","1","0.1","1e+07","1","12521.m"
"XE","12522","333","1e-04","0.75","70.7106781186548","1","0.1","1e+07","2","12522.m"
"XE","12523","333","1e-04","0.75","70.7106781186548","1","0.1","1e+07","3","12523.m"
"XE","12531","333","1e-04","0.75","7071.06781186548","1","0.1","1e+07","1","12531.m"
"XE","12532","333","1e-04","0.75","7071.06781186548","1","0.1","1e+07","2","12532.m"
"XE","12533","333","1e-04","0.75","7071.06781186548","1","0.1","1e+07","3","12533.m"
"XE","12541","333","1e-04","0.75","707106.781186548","1","0.1","1e+07","1","12541.m"
"XE","12542","333","1e-04","0.75","707106.781186548","1","0.1","1e+07","2","12542.m"
"XE","12543","333","1e-04","0.75","707106.781186548","1","0.1","1e+07","3","12543.m"
"XE","12551","333","1e-04","0.75","70710678.1186548","1","0.1","1e+07","1","12551.m"
"XE","12552","333","1e-04","0.75","70710678.1186548","1","0.1","1e+07","2","12552.m"
"XE","12553","333","1e-04","0.75","70710678.1186548","1","0.1","1e+07","3","12553.m"
"XE","12561","333","1e-04","0.75","-1","1","0.1","1e+07","1","12561.m"
"XE","12562","333","1e-04","0.75","-1","1","0.1","1e+07","2","12562.m"
"XE","12563","333","1e-04","0.75","-1","1","0.1","1e+07","3","12563.m"
"XE","13111","333","1e-04","0","0.707106781186548","10","0.1","1e+07","1","13111.m"
"XE","13112","333","1e-04","0","0.707106781186548","10","0.1","1e+07","2","13112.m"
"XE","13113","333","1e-04","0","0.707106781186548","10","0.1","1e+07","3","13113.m"
"XE","13121","333","1e-04","0","70.7106781186548","10","0.1","1e+07","1","13121.m"
"XE","13122","333","1e-04","0","70.7106781186548","10","0.1","1e+07","2","13122.m"
"XE","13123","333","1e-04","0","70.7106781186548","10","0.1","1e+07","3","13123.m"
"XE","13131","333","1e-04","0","7071.06781186548","10","0.1","1e+07","1","13131.m"
"XE","13132","333","1e-04","0","7071.06781186548","10","0.1","1e+07","2","13132.m"
"XE","13133","333","1e-04","0","7071.06781186548","10","0.1","1e+07","3","13133.m"
"XE","13141","333","1e-04","0","707106.781186548","10","0.1","1e+07","1","13141.m"
"XE","13142","333","1e-04","0","707106.781186548","10","0.1","1e+07","2","13142.m"
"XE","13143","333","1e-04","0","707106.781186548","10","0.1","1e+07","3","13143.m"
"XE","13151","333","1e-04","0","70710678.1186548","10","0.1","1e+07","1","13151.m"
"XE","13152","333","1e-04","0","70710678.1186548","10","0.1","1e+07","2","13152.m"
"XE","13153","333","1e-04","0","70710678.1186548","10","0.1","1e+07","3","13153.m"
"XE","13161","333","1e-04","0","-1","10","0.1","1e+07","1","13161.m"
"XE","13162","333","1e-04","0","-1","10","0.1","1e+07","2","13162.m"
"XE","13163","333","1e-04","0","-1","10","0.1","1e+07","3","13163.m"
"XE","13211","333","1e-04","0.5","0.707106781186548","10","0.1","1e+07","1","13211.m"
"XE","13212","333","1e-04","0.5","0.707106781186548","10","0.1","1e+07","2","13212.m"
